review,sentiment
"Projects are less compared to the Number of Employees
Most Projects are on Old Technologies",0
"1. less work pressure
2. working in shift earns more than other mnc company.",1
"Pune Staffing team and Hr team are pathetic. They promise onsite to person who have resigned and when that person gets retained staffing team starts making excuses and never provide onsite.

They betray the employee and his trust",0
"Employees are put into projects as domain/Business unit wise but not technology  wise, If project ended in that domain you were put into bench in that domain if you have projects  in other Technology you were asked to attend Client Interview  for that Technology not allowing you to Attend same Technology interviews you worked in Cross Domain projects, if you failed more than 2 Client Interviews you were asked to leave",0
Good company to work with,1
"Poor pay
Limited opportunities for growth
Maintaining 10 hours logged in time
No work from home",0
Salary is a bit low.,0
"Not flexible with work timing
Salary hike is less than 5 percent
No entertainments",0
Flexible work timings(purely depends on project),1
There is no downside to working with XYZ,0
The life has been cool. The mangers were calm and patient with me. This I have observed in most of the assignments I worked with,1
To Experience with Hi-Tech environment.,1
they'll hire you and keep you on bench for long time. there is no proper resource management. After somedays they'll ask youi get into project or else they will force to put down paper,0
"good work life balance
good team work",1
"Inspired with western culture and known people working and growing with companies like Wipro , Tata consultancy Services, JP Morgan Chase, Morgan Stanley, HSBC etc thought of continuing with XYZ but after giving 4 valuable years I realized that the company can't even afford basic expenses of there employees, running on freshers & degrading at a faster pace towards their client deliveries.",0
"good timing
even people
heart felt work
 work
make u 
give u carrot",1
HR is not aware of HR. Entire HR is from Delievry - they favour thier fav people  I worked in the hr team and let me tell you that there is nothing to learn except for excel,0
"could improve the  training, but is not bad.",0
Good Exposure to new technologies,1
"Professional environment, process oriented, campus, TGIM fun activities. Got to learn new technologies, new tools and professional behavior.",1
The work culture at XYZ is not like regular 10-5 job it has got so much activity in there that we never get bored while working there.,1
Everyone will get so much to learn after entering here,1
"Good work life balance.
Brand name.
Great onsite opportunity.",1
"1)No much recognition for the work.
2) much to concentrate on work like balance.",0
Few teams are very much difficult to work with.,0
No hike and benefits and bonus,0
"Less salary
Less learning and development",0
Provide salary which is below market standards,0
Need to maintain market salary structure for employees.,0
"- Good place good people around to work
- Good opportunities for growth.",1
"working environment is very good and very friendly .
work pressure is less",1
"I worked at XYZ (Bangalore), almost 3 years in Bombardier project as a Technical writer. As a fresher it's a best company to start your career. They have good work environment, having work-life balance, and excellent training process. If your performance is excellent, you will be recognized with awards. Managers support employees all time.",1
"Good projects , learning pool",1
"Limited growth prospect.
Subservient nature of consulting job.",0
Good place to work for fresher,1
Great pace to work. Should invest more on hr policies . Work life balance,1
"Nothing much , team outings are great.",1
"i)People dont get into project after finishing their training.
ii)Some wait like a year to get a project.The management should take a look into that.
iv)Salary hike is not that good,frankly speaking not good at all.Bonus is also not good.",0
Manager and employee relations are not so good almost everywhere,0
"no pros only cons, good if you are in good project",1
"Indian labor is looked as a cheap labor as opposed to drivers of innovation. Lowballing talent in India when it comes to compensation. Very high attrition levels triggered by compensation issues. Extreme bottom line pressure, severe work-life balance issues.",0
Outsourcing is one bad factor that too with SCB,0
Client dependent work and stress levels,0
1. Five Letter words are nothing,0
Mostly work is  at Client Location.,0
"Easy to get a job here because it is an Indian IT company
Can apply Visa for US/Europe",1
"Good Organization for freshers to start in the IT sector, process oriented approach and the company gives a individual a in depth view of the corporate world.",1
good work and personal life balance,1
Comparatively lesser Implementation projects to work upon.,0
Overall good and fulfilling career so far. No negative views. Company might want to look at revamping our Rewards & recognition program.,0
"They are still better than Indian service based companies.
Good company ethics. 
As an organization good company.
Job security is there.",1
Good start for a carreer,1
The company working times are more than 9 hours 9.30 hours to be precise which is bit harsh on employees,0
"good working environment
well implemented business processes , policies
Work load is normal 
job security is high",1
"Good Working Environment, Cabs, Accessibility to Regional Leadership",1
Lot of work pressure since there is no help or guide too.,0
"Work from home flexibility was part of my project.
Opportunities to learn more and improve new skills.",1
Not good hike and too many process. Managment is not transparent,0
Working hours are normal no problems with timings,1
Awesome peers to work with. Good work life balance,1
"Each country office is like a separate company in itself. Favouritism in india office exists, less weightage for technical skills.",0
"Good for Freshers joining this company and getting the project ASAP. 

For Laterals and talented its a waste of time and Career spoiling company... There 65% of old employees are incapable/unskilled as mentioned in news. But you as a New joinee will be expected to work (as shadow resource) under existing employees (even if there skills/experience is only 1% to 90% less than you) .

In-short its NO MORE a offshore based company,,,,, but is a pure Body-Shopping company and there is dirt of new projects.",1
Good work culture. Since its a service based company you have to be present full always. Good opportunity. And one thing I would like to add is job stability.,1
"company is good.
procedure take place on time.
excellent convincing power of people of XYZ",1
I am unable to  find any positives.,1
You can get offer immediately,1
"- You will not get the onsite opportunity. Persons which are at onsite currently from 6 years, are not ready to come back.
- No salary hike. At max 8-9%.
- Company spends lots of money on useless things e.g. celebration of the event ""XYZ50"", rat",0
"Most of the projects are QA and support projects.
Most people will not get the desired project according to their skillset.",0
Company has good reputation in the market. Infrastructure is good.,1
Mot much work in noida location,0
"strict in work timings, hr policies are not good. management is not good, 3 months notice period",0
"XYZ is a good company. They take care of their employees.
Management is also good. Team leads and colleagues are very helpful.",1
Work culture and new opportunities,1
"work culture, leadership, year end salary hike, no interesting projects, work life balance",0
"Salary, Middle Management un-responsive",0
People who work on client location don't have any connection with HR and internal things.,0
Not any cons i have looking,0
"Learning is purely based projects
Work pressure will be more
Management will ask for high margins which lead to reduction on team size",0
"- Difficulty changing projects
- Does not have a robust higher education/ career progression plan for freshers.",0
"Good Projects
good training
Time to Study,Learn,Develope and Growth",1
"1. Good work life balance
2. Senior management is helpful
3. Friendly aura
4. Lots of Technical and Soft skill development options
5. Have offices across the country, hence transfer is easy",1
Less work Less work Less work Less work Less work Less work,0
1. Few onsite opportunities in Pune,0
".Not much in-house project.
Pay scale is average.
Client oriented company.",0
no as such. overall good place to work,0
Salary band is low as compared to counterparts,0
Good Company when u join for 1 years,1
"1. Lots of client facing
2. Ample opportunities to improve your communication skills",1
"Learning paths, good time management",1
"Consulting company, working environment is very good and very friendly .
work pressure is less as compare to other companies.",1
There is no as such pros,1
"Policies are not up to mark, average employee satisfaction. Big MNC, difficult to get highlighted",0
Wont kick you even if you are on bench for a long time.,1
"Less Increment /Hike,  Less Rewarding Policies",0
not seeing any cons as of now,0
"Management committee never thought of considering employees preference during project allocation 
Performance review was never based on the quality of work done rather the parameter is how much you can keep your supervisor happy. 
Doesn't matter how much work you have rather what matters is how much you have shown to others
No growth",0
Salary and increment is less,0
Work life balance is quite good.,1
Work environment is too good .,1
Very flexible to work with team members and managers are so supportive for every work. I have been working since from 2 years and i have recognized each and every time for my work.,1
"Pay is ok.
I don't see anything else.",1
Nice to work in XYZ,1
too much time on bench,0
"Bad salary hike
Performance is not the sole criteria of hike. Bell curve adjustments are done",0
It was a good company.,1
Some accounts of XYZ are fine to work with,1
"short term project
bench period is there
less hike",0
"For freshers there is no much importance given,
More bench period.",1
"Flexible work hour ,good infrastructure",1
"Can't think of even 1 worthy of mentioning, which would serve as a pro in comparison with peers. They are barely par for the course with anything in the peer group to begin with. Post integration with IGATE there is a good Employee Recreation Center with a gym, indoor badminton etc. If at all..",1
senior management issues for employee management..,0
Good work culture and Management Team,1
Stable career. Like govt job.,1
"Competitive pay, flexible, Good learning",1
long working hours and less benefits,0
It is getting worse than Indian company.,0
"Work life balance, at times.",0
Salary is bit less as compared to other companies in a market.,0
Work from home facility,1
project i worked doesn't had much work. no knowledge development,0
not too much work load,1
Have not started working yet but they provide a platform 'propel' through which you can solve modules and good performance may result in an early joining date and better projects.,1
"very low hike, less scope for growth, biased management",0
Salary is too less with respect to amount of work they take.,0
Good environment good culture good working condition good management good exit policy,1
"9.5 hours mandatory timings.. 
office timings",0
"Best training for freshers.
Good campuses.
Company has good reputation, one of the top companies.
No good pros to share.",1
You are safer in terms of lay off .,1
"1. Part of a huge MNC with 180k employees ( can also be a Con).
2. Many food options available in the company Cafeteria.",1
"As a freshers you can learn lots of things, as this company focus on learning.",1
Nothing is coming to my mind now.,0
Policies are not employee friendly.,0
keeps u busy and chance to lead team,1
Worst paymaster in the whole market. No monetary growth. Current situation is bad as half of the new recruited employees are on bench. Top management not concerened on retaining even great performers. In a nutshell not a rewarding company even if you work hard.,0
"1. Good work-life balance.
2. Less pressure for female employee.",1
"Salary as per industry standard, good on site opportunity, Not many pros,",1
Exposure to technology if you show enough interest and invest time. Good exposure for freshers with internal University trainings.,1
Started my IT career with XYZ and it gave me all the opportunities and happiness to be associated with a company. Overall good experience.,1
"1. Salary hike is less.
2. Leaves are less compared to other organisations.",0
"Only selective persons are onsite even if they do not know anything about project. 
Onsite opportunity is only experience based nd not skill based.
Very less annual increment.",0
"Good culture, employee friendly, better culture than IPPs any day",1
"Slow growth on the technical part of employee
Less compensation as compared to the same level employee
Teams politics is very high due to which  attrition rate is high",0
"1. Cross BU roles might get difficult in terms of you appraisals
2. Internal IT processes are too stringent. You might have to wait a lot to actually start working until you are tagged to a project.",0
Nothing to mention. May be more flexibility to work from home option.,0
Nothing to say everything is fine.,0
"XYZ is one of the top five IT companies in the world. They beleive in ""People matters, Result Counts"". They provide good platform to launch your fresh carrier.",1
Lot of politics is available in every project.,0
Company is growing and has good brand name. Work profiles are extensive. Lot of scope for improvement hence employee hafe scope to contribute significantly,1
Top level management is good.,1
"Flexible hours.
Good learning experience.
Transport facility available.",1
Good name universally but in India it is like a new company,1
equal opportunity is provided to all forms of diversity . we have a zero tolerance policy towards any form of discrimination,1
Less opportunities in Chennai. Less hike,0
No work from home options. Should allow flexible timings and improve employee transportation. Have more innovative compensation and promotions policy,0
Not considering the current employees expectations and  getting paid less for deserved persons.,0
"Low Salary hike
Long working hours
Have to maintain ODC hours upto 8.5 hours a day",0
"1. Competitive Salary
2. Can earn extra on shifts
3. Work-life balance",1
Many learning opportunities.Good work culture,1
"More working hours compared to other organizations
Less Hike in the Annual appraisal cycle
Non employee friendly
No work life balance",0
"1. Work life balance is too good.
2.Brand name that will help you in future.
3. Chilled environment.
4. You will get to  learn lot of new things 
5.  I will recommend people to join XYZ",1
"I have been there for almost 2 years and the opportunities I got there was fantastic. Especially the onsite opportunity, although I wasn't able to execute it, because of personal reasons. I hope we rejoin again in future. I have learnt corporate culture and new technologies there.  I have learnt banking domain environment and how sensitive task we had.",1
"Low salary, not good for fresher",0
"didn't find yet in 4 months, but hoping to find some in future",1
You cannot choose a domain of your own choice as a fresher and salary is too low.,0
"- Work culture is good
- flexible timing
- you can do work from home (depends on manager)
- If you are working in FP&A profile then there is scope in a market",1
"Pas d'augmentation salariale pour les bons collaborateurs, afin de les fidÃ©liser et les protÃ©ger des autres entreprises prÃ©datrices quand le marchÃ© bouge",0
Work pressure depend on the client and your manager,0
"At a point of time you will receive an amount in your pay slip saying it's your performance bonus 

after 12 days you will receive an email that the amount which you have got as performance bonus is arrest and will be deducted from your salary on monthly basis",1
Work culture and the team. Good place to learn and to get exposure,1
It is location for me,1
"As a fresher, learned a lot in terms of process, technology, client interaction.  An amazing training platform to learn variety of technical and non technical subjects.  Work life balance. Cab and bus facility with manageable price which you need to pay",1
No cons i found as of now,0
Good work culture to work and career growth,1
"Process related company,  not employee friendly",1
variable pay   .. less hike  .. less onsite opportunity,0
"Get lots of free time. 
Can spend quality time out of office.
Can do other work if in bench.",1
Staying for longer time will not raise salary too much.,0
it is good company for making career. Management is good.,1
nice projects.Good team salary structure,1
"Limited Growth Opportunities, Employee Dissatisfaction in the Long Run",0
none as per my knowledge,0
Maternity leave you get for 6 months,1
"not much more, but appraisal management is not that much good",0
"* Good facilities for employees.
* Flexible timings, good work/ personal life balance.",1
Very limited projects in Chennai location,0
"Open culture, flexible timings- depending on  project,  good on site opportunities",1
I have been working in XYZ since 2012. So I am really looking for a change to enhance my skill outside and will work in different domain as well,1
sometimes should work according to client's time,0
"Good Team Lead. Helpful, balanced life cycle,fun loving environment",1
Good work balance. Supportive colleagues.,1
The only Pro i can associate regarding salary is that you will get it at the end of the month.,1
good to learn but a service provider has some limits to work for and not a OEM so its ok,1
"Good work culture, work life balance, supportive staff, fun environment",1
good global brand name and reputation,1
"work culture depends on the project, RMG team doesn't allocates the resources properly, but it depends on case to case basis, There are a multiple range of projects to work at, sometimes you may get trapped in bad projects, overall there are good projects more than the bad, Very less hike",0
"No proper Hike, no bonus",0
Good life and work balance,1
Good company to work with. Lot of scope for personal training and development at Junior and mid levels.,1
"1. lots of learning opportunities
2. Flexible timings
3. Friendly and open environment",1
Job security & work-life balance,1
Working Culture is very good and Friendly.,1
Annual appraisal is poor. Review system is not so good.,0
Nothing at all what so ever,1
politics is on eam lead level,0
"Good clients , on-site opportunity",1
there is no any cons i got.,0
Salary hikes/revisions can be an area for consideration.,0
"Unfortunately, there is a compulsory 9hr30min time we have to spend in the office, even if there is no work.",0
"compensation and benefits,working hours.not much financial growth.",0
Not at encouraging salary hike given hence disliking,0
Friendly people around. Trained for selenium but given manual testing. Not a pro though,1
"Not so good, they keep rotating in shift every 15 days. It kinda like hurts biological clock.  , package need to be revised for market.",0
No strict rules for wearing formals.,1
"uncouth management,divide n rule,unfairness, not at all employee friendly,",0
Multinational company is the only pro,1
good place to work having friendly environment,1
Not easy to move out of project,0
no cons in the company,0
Career growth lexible for women day shift,1
performance appraisal is at time biases and very unpredictable,0
"Management could have been better.
think about your employees
Dirty politics",0
"Highly non-cooperative organization I have ever experienced or heard of.
HRs are worst. They will not support you in any situation. They will consider as they are the CEO.  
You will have no clue what to do on your last day in Company.
I will never recommend such an organization to anyone.
Giving 1 star because 0 star not possible.
I am regretting my decision to join XYZ. I bought the notice period without any other job such is my frustration. I will never ever recommend this company to my enemies also in my life.
It sucks!!! And I mean it.",0
Pay scale is not encouraging,0
"Not so good company for freshers.
Internal hike is too less.",0
Good work environment to work,1
There is no cons I found in my tenure.,0
"Not a very good place if you really want to master your trade,low hikes",0
No work or very less work load,1
Work life balance is good in XYZ,1
"Lot of Learning opportunity
Friendly, Helping Nature from seniors and Managers
Work life balance is good
Learned some leadership qualities",1
"Cool working environment.

Family life manageable",1
Great place to work at. Very nice working culture and a very supportive senior management.,1
NA NA NA NA NA,0
"No proper Hike.  Full of Politics in higher Management. Appraisal  System is crap having N+1, N+2,N+3 System.,  Never Valued till you put your papers. Not suitable for career  oriented peoples. Keep loosing important  projects to different vendors.",0
Hiring salary is good. Got 50%hike.,1
No out door learning activity.,0
Best work environment to match your skills,1
"every thing  is really bad
adopted firing policy",0
"Good learning opportunities, greater benefits. Overall a good company",1
"- No matter how much you work hard throughout the year, Your appraisal will be single digit hike ONLY. It is like you are beggar and begging for bhik.

- Management is not good. Lots of politics here. Everyone sweet talks to you and at the end of the ",0
lack of concise pay structure,0
Management decision is taking to reach down layer,0
"Strict 9:30 hours, Nothing really cons about it. Just the company was at a distance from my home, and I needed more time to spend at home.",0
"The Variable pay policy is the worst, you will get your variable pay after 1.3 years ant that to not 100%",0
"-good work culture
-employee friendly
-projects in varied technologies
-good bench policies",1
Hierarchy screws up the communications and also once you are assigned to a role u are stuck there with no wider options to move to functional space,0
"Good Exposure , ability to work on cutting edge technologies. (If you are in correct unit and willing to learn).",1
"work environment is good.
company culture is encouraging.
you can balance your work life and professional life both.",1
Extremely selfish management. Top management is playing diplomatic games with employees. Giving stupid & false review while appraisal. HR department will nave consider your issues if top management finalize the point.,0
The office is not maintained to its level. All the branches of the company are fully maintained. There are no,0
"- XYZ is Matrix Organization. People joining from Indian Pure Play organizations may find it difficult to adjust in the beginning
- But ones you understand the way to navigate through the system / processes it really helps in getting cooperation f",0
Increment is quite low compared to market value,0
Not much with my team.,0
Nothing to share as only worked for 8 months,1
"Good work culture
Good initiatives by the firm conducted",1
"bench period a golden time, free money and get your dreams done",1
"Company exit procedure was a disaster.
lack of transparency by senior management.",0
Less increment as compared to other major companies  in the league,0
"in one project i got work from home
but it does nt have work from home culture",1
Hike is not up to industry standard.,0
I have not found better things in this organization,1
Less onsite opportunities in Gurgaon location,0
"Lots of learning opportunity,",1
"Less client base, lesser onsite opportunities",0
Fair work culture compared to market standard in India,1
"HR executive is rude sometimes
Initial salary is less",0
"Very good for learning

best place for beginners",1
Not satisfied with the company,0
Bad salary and hike structure,0
"All the higher hierarchy are reachable
Work environment is great.. You get lot of new things to learn",1
"Full work pressure
Strecth if work complete on time",0
Good people but too many inexperienced hires lately,1
distance to office from home can be so tiring,0
salary hikes and payroll structure,0
Low compensation provided by the company.,0
great exposure for the beginners,1
Good company to work. Nice work place,1
Not really much but with the size of company one tends to feel like a lost one !,0
"1. Work in XYZ Pune/Hyderabad, Not much growth in Chennai",0
"good work life balance, Employee friendly environment",1
Yearly appraisal rates should be revised,0
Good infrastructure and cafeteria section.,1
BPS services really very bad for employees a learning is zero,0
"Don't join being a fresher.
They will place anywhere where the need is there ,doesn't matter from which background you are even what you have done during 3 months FLP.
In my case I didn't even have the FLP. I just onboarded into the project after 15 days of my joining.
Salary is quite low. Will get first hike in July 2017 since 1 Feb 2016 as a fresher.",0
Good work environment and Fun activities,1
Nice work culture with constant support for innovation,1
"1. Good Learning opportunities
2. Open and modern company culture
3. Good chances for vertical growth",1
"1. Poor increment and appraisal policies
2. Mostly support based projects with less scope of learning
3. Onsite chances are meagre",0
very less starting package for freshers,0
Good Timing Good Work Environment Good Option for employees to save tax,1
"need to maintain 9.30 hrs at office, lack of onsite opportunities",0
"good working environment
job stability
good work life balance",1
only 1 benefit is that.. you will get change from your current company,1
Good if you working in any client place...  It is having some good clients,1
No Appraisal hike every year,0
No structure . Need more process,0
Good work environment and benefits in terms of financial and technical.,1
Good to for freshers,1
Bench size is High so Employee utilization rate is low.,0
"1. Good Clients
2. Give attention to your issue, only if you abscond 
3. Offers good appraisal only when you resign
4. Give multiple revisions of offers in system without telling Change,  On the Date of Joining - Surprise offer with Surprised ( Shocking ) Salary Structure & Grades -this bring alertness to be aware of frauds. 
[ Same as Pune Autorickshaw who asks extra during trip ]
5. Free food on weekends, free training",1
"low hike.
Dont knw how to use fresher- resource",0
"Location Change (if you are in bench).

Less salary Hikes.
less onsite.",0
"The company has a wide range of testing projects which involves automation,manual and mobile testing",1
"Pay hike is very less.

All manual processes and excel.

No clarity of work/ role",0
Work environment is good and facilities are okay. Some facilities are good but need to improve .Transport facility is good .good company will rate 3,1
"Better pay master as compared to peers (Not sure if this has changed recently after some acquisition).
Good learning and development courses",1
"Appraisal and hike are hopeless though u out perform.
Can't predict which project, which work, which timings you'll ultimately get",0
No cons from my side..,0
"If you are working at client location no one will touch you.
Good if you are working at client location. Will get paid extra if you work at client location.
Manager's will not ask anything until you are doing good at client location.
Good campus. Nice environment. Canteen food is ok.",1
Travel is been made little difficult which he team should have a look,0
"Compensation better than related service based companies
Company transport",1
"- Lots of time for personal activities.
- You can prepare for exams for higher studies.",1
"For my project team, i don't find any concerns. But yes, overall increments and compensation are  less.",0
"there is no best reason to work here, tcs is far far better than this company",1
"bro i had worked in chennai XYZ karapakkam(standard chartered bank)4th floor , private banking dept ...i faced a such dirty politics, there was a development lead called vijayarajan ramakrishnan he is technically nill,1.he didnot know string class replaceFirst() purpose.2.unnecessarly put apressure on consultants, because he wnats to survive, that is the reason he can show our work as a 
he did.3.development lead can put pressure on every day (yes first time when consultant saw the project how he can understand and deliver when we ask for they willnot provide a proper kt).4.i worked in first project statements, i provide some solutions, this statements development interacted with cupid developmentlead and told like put a pressure on the silent associates and show their work as our work.5. this stupid development lead vijayarajan ramakrishnan he is in that project from past 6 years but still that stupid fellow didnot know the usage of some classes and if any reqirement came in the sense first he got tense because he is technically nill,finally what he will decide is put a pressure on associates in L3 fixes also same.5. when the consultant felt pressure this stupid vijayarajan ramakrishnan and other can laugh themselves.6. that is the reason i left the company.7.they didnot gave any proper trainings.8.XYZ human resource and cluster they will always concentrate on billing , they willnot consider the consultants opinions.9.especially there are some sceniors like vijayarajan ramakrishnan and others, they didnot survive other than this office because they donot have a skill as well as guts to face the interviews in other companies that is the reason they stayed in that companies from many years and doing this dirty politics.",1
"Nothing as such, nice company to work for..",0
Stable life once selected in project . Onsite opportunities,1
"Work life balance , Good HR",1
* They provide training at fresher level.,1
great brand to work,1
Workplace and environment is good.,1
There are more opportunities for freshers.,1
good clients and projects and one get many opportunities,1
Low benefits  and bonus offered annually,0
"-Onsite opportunities are good if you are in European projects
-Freedom to learn new technologies but project wont let you go to work on them",1
Good team and positive workground,1
awesome environment to work and great culture,1
"Well growth,co-ordination,good scope ahead, better future.",1
"Compensation, hierarchial politics, benefits, exit policy",0
"- No Job satisfaction
- No Work life balance
- mostly support projects
- less/no hike",0
"1) Nobody cares if you are in based on client location.
2) If lucky you get company managers to interact soemtimes.",1
Big company to work with nice oppertunities,1
Payscale could have been better.,0
NIL NIL NIL NIL NIL,1
Excellent. Good work life balance,1
"We need to work 9 hours daily.Whether we have work or not, we have to complete 9 hours daily.",0
cost cutting and no work life balance,0
"1. Not using latest technology.
2. Less exposure.
3. Illogical training
4. Very less compensation",0
Too individualistic. Individual efforts are counted more.,0
"Less Hike
Bad Food
Not better Projects",0
Tough getting relocation from onelocation to another,0
"1. Salary is the key problem here , you wont be get the good hike , less salary.
2. work life balance",0
"A very good company, working environment is very good and very friendly . work pressure is less as compare to other companies.Work Culture is good.Great opportunity to learn new technology",1
"Number  projects , less timing constraint (though it depends one the project you work for ), accessible office locations  from different part of Bangalore (as I work in Bangalore),Very much process oriented,Latest technology though the count needs to be increased .",1
"Shift timings , no work from home",0
As a fresher it would be a good start to work with XYZ. The work culture is amazing,1
has good flexible working life  ..,1
Everything is Good. From top Management to Junior level everyone have equal rights and can express their views. Working environment is Excellent i.e Open Culture,1
Salaries will be very low for the employes,0
Good Environment to learn on your own.,1
"Limited Growth & learning Opportunties, Struggle for compensation hike",0
Flexible & Open culture.,1
"Big organisation, exposure to leadership is less",0
you might find some dumb managers,0
"GOOD EMPLOYEE freedom. 
Love the campus",1
Its a good place to work. Infrastructure is good in all the locations across India. Have multiple verticals/domains to work.,1
Not able to switch technologies if stuck in domains such as Mainframes,0
"No ethics,   worse management, no hikes , no XYZ behaves as a low scale company.",0
I didn't feel any negatives in there.,0
"Give onsite opportunity, and recognise and give appreciation to employee work.",0
"No hikes, very less pay,worst transport department, bad food
No onsite opportunity, very less to learn of
All legacy systems and old technologies",0
"Awesome work life balance, comp offs for weekend works",1
The compensation and benefits were not up to expectations. The information flow during business process was not transparent. The pay was not as expected and lack of training regards to emerging technologies in software training and had no means of facilitating certifications for career growth of employees.,0
WFH avaiable when required and peaceful environment,1
Over commitment to the customer resulting in high stress levels,0
Had a tough time with RMG,0
No talent management.. can force you to work on any available projects disregard you skillset.. HR don't listen to employees,0
some work pressure is their,0
getting project was difficult at first,0
"- Growth is less
- No salary hikes",0
"None, you could find as the company is yet to find what's best for them or for the employees. After 5 years I honestly haven't come accross any pros.

If you can bring some juice everyday for your manager and lick all the time you are in good place.",1
"in integration stage, progress is slow",0
"Good and flexible work timings and environment except few projects, performance review process is good",1
"its good company ,my colleagues  good ,",1
As of now only salary,1
Work-Life Balance and Location. Relevance,1
"Good pay for experienced
Friendly culture",1
No cons as of now.,0
Compensation and hike is not according to the market standards,0
good workplace with balanced life,1
Really a good working environment.,1
"Good client base, satisfactory work environment, good project pipeline, many locations available for working , a good experience so far!",1
only the name 'XYZ' ... nothing else,1
"Good work environment and people are very friendly,nice infrastructure. Flexible work timings overall everything is good except management",1
Few managers are not worth to be,0
"I was placed in XYZ by campus selection.I have been working here since 2years
It is good for people who got to work in exciting projects from day1.
As an MBA recruit i had some advantage while dealing with the Top Management.",1
Salary could be  reviewed,0
Allows freedom. Awesome culture. Great opportunities. Team spirit is good. Leadership is receptive. Feel good to come to work everyday,1
"Project level management needs to be improvised, employee feedback must be taken and immediately should reflect in the processes",0
"Good work life balance
Flexible timing",1
Not much to share for the Organization,1
Great scope better opportunity well growth,1
"1) No Pay for 8+ experienced if you are based at client location
2) Even if client likes to hire you they cant due to XYZ agreement
3) Least communication
4) Will ask most of the time to support on weekend interview with no incentives.
5) Promotion is biased , you must be s ""yes"" guy.",0
"Good work life balance
Good managers
Friendly team",1
"1. Great company for learning & global exposure.  XYZ invests a lot on learning & development of the talents. Our learning platform offers variety of self learning Digital courses on topics like AI, Automation, Cloud, Devops, Big Data . etc.  It was very helpful for non-technical person like to me to build my knowledge on these new age technologies. 

2.  XYZ offers opportunities to collaborate with global teams
3.  Good for people looking for Transformation & change management programs experience 
4.  Invest heavily on training, employee engagement and branding.
5. Offers good work & life balance.
6. Offers employee stocks program across all grades. 
7. 6 months maternity leave",1
XYZ is extremely good in consulting when it comes to SAP technology. Have good projects and wider scope of learning and growth.,1
Good environment for work. Good Training facility,1
"Lots of On-sight opportunities.
Good work environment",1
"1. XYZ has a large no. of support projects which is  a big letdown for enthusiasts who wants to get into development.
2. It is not good for freshers as freshers are only given work related to testing and creating excel sheets.
3. Freshers contribution to their project is very less as they are only given some trivial work which a non computer graduate can easily complete",0
Nice place to work in XYZ,1
very good work culture.keep it up,1
"Worst work culture.
Lethargic employees.
Bad appraisals.
The firm gives you big hopes and does nothing for you.
The Igate acquisition has weakened the company's management.
People are not judged based on their skills or hard work; they are merely judged on the basis of their presence at desk.",0
"-> XYZ has issues like any other giant company out there has.
-> After getting into the company, increment in your Compensation wouldn't be much.
->XYZ doesn't believe in retaining potential employees, if you chose to go out, they would no",0
"- Lot of things to learn in initial phase.
- Good working environment.",1
work management is not good.,0
"Good work culture.
friendly colleagues.
Good projects.",1
very good company ... u will get plenty of opportunity to move across department,1
"XYZ is a great place for anyone to crave to acquire different domain knowledge and project exposures in asia pacific countries. It is a self-drive culture. To succeed is to be able to face all challenges and hurdles. Colleagues are fun, co-operative and I enjoyed working with the team. There is some recent improvements on benefits.",1
I don't remember any Pros,1
Micromanagement is the only cons I've felt and onsite opportunity is less.,0
Bad Management and People are managers who have no idea of the work.,0
"Good services Management 
work life balance",1
Paywise iit is very less,0
"Average infrastructure
Not competitive package for non-engineering workforce",0
"ïƒ°	Have good knowledge set in Cash applications, collections, dispute resolutions and order management billing, intercompany billing- rebilling, Credit Risk management.
ïƒ°	Resourceful in managing daily Cash, setting up new Customers, Cash & other reporting functionalities as per business requirements, Business development, Process improvements & maintain and achieve SLAâ€™s
ïƒ°	Hands on experience includes Oracle R12, SAP, Web collect,Odessy,AOPS,Tableau 9.2",1
Very good work life balance. Good opportunities good projects . Significant onshore opportunities if u r in a non US BU. Overall a very good place to work.,1
"good ethics
nice place to work",1
They follow a use and throw strategy towards the employees performance reviews are never monitored even if the employee has some concerns........,0
"Great Place to start working
Friendly team members",1
Employee friendly. Very flat organisation. Work-life balance. Flexibility in work. Good facilities. Quality of work is good. Employee development oriented. Mobility within organisation. XYZ has a strong brand value in the market.,1
"All r good.
Good place to work.
All are friendly.
No is enemy.
Girls are nice",1
"Limited hikes, Delay in services, No under ground parking, similar kind of fun activities since 5 yrs",0
"i think no cons.
I loved it.
Lay off must happens.
managers cruelity.",0
"Fair chance to candidates,freshers too.
Certification training was too helpful for future.
Wonderful events inhouse.
Great opportunities to work with reputed clients all over the world.",1
You are given the option to do the work that you wish to do.,1
"Not any that I feel about,",0
your ideas are not respected,0
hikes can not be expected,0
"Still finding out Pro's, Not found out one...Stuck",1
Low salary compared to other mnc's,0
"Healthy competition 
Nice culture
Colaboration",1
You'll get the best environment and team to work. Can talk to any manager or VP.,1
"- Big name
- Pays more than Indian IT Companies
- Paid leaves",1
Nice Exposure and good oppourtinity,1
no clear KPIs and growth for employees...,0
Friendly employees and staff with alot incentives,1
"It's good company for learning as it has online tutorials on technical and professional development.
It's offer integrated mtech from top universities",1
Best work-life balance is possible for employees working in XYZ.,1
Good work culture and friendly management,1
Work and life balance,1
This company is not good for Sub-Contractors because  this company is partial to Sub-Contractors in terms of probation  period.,0
bad managers,0
"Senior Management attitude, Performance Appraisals will not be good, Less Salary",0
friendly atmosphere Great work life balance,1
